Designator,Mid X,Mid Y,Layer,Rotation
BT1,3.124836,21.308936,top,-158.200000
C1,1.868278,-8.464771,top,180.000000
C2,-3.731723,1.238903,top,-90.000000
C3,-1.481725,4.238906,top,0.000000
C4,0.018278,-2.011093,top,0.000000
C5,59.908056,-21.938145,top,15.000000
C6,55.481897,-41.448517,top,-165.000000
D1,13.160809,8.396664,top,100.000000
D2,10.768277,-5.914772,top,-90.000000
J2,6.727923,7.547531,top,-169.000000
K1,76.661114,58.306724,top,-173.200000
K2,64.749598,35.737591,top,-173.200000
K3,47.705045,26.655556,top,-173.200000
K4,29.002837,31.475041,top,-173.200000
K5,14.604838,29.758188,top,-173.200000
K6,75.062660,71.711755,top,-173.200000
K7,63.151139,49.142619,top,-173.200000
K8,46.106591,40.060593,top,-173.200000
K9,27.404383,44.880079,top,-173.200000
K10,13.006378,43.163223,top,-173.200000
K11,73.464206,85.116790,top,-173.200000
K12,61.552686,62.547656,top,-173.200000
K13,44.508133,53.465628,top,-173.200000
K14,25.805931,58.285116,top,-173.200000
K15,11.407929,56.568255,top,-173.200000
K16,25.101523,88.262585,top,-83.200000
K17,11.518884,88.153580,top,-83.200000
K18,-2.182162,89.037544,top,-83.200000
K19,88.306086,-2.060889,top,15.000000
K20,68.864960,14.470675,top,15.000000
K21,49.666563,16.573415,top,15.000000
K22,34.091630,5.153192,top,15.000000
K23,20.085706,1.400317,top,15.000000
K24,91.800141,-15.100886,top,15.000000
K25,72.359016,1.430679,top,15.000000
K26,53.160622,3.533419,top,15.000000
K27,37.585686,-7.886806,top,15.000000
K28,23.579764,-11.639685,top,15.000000
K29,95.294199,-28.140888,top,15.000000
K30,75.853075,-11.609321,top,15.000000
K31,56.654670,-9.506589,top,15.000000
K32,41.079745,-20.926805,top,15.000000
K33,27.073818,-24.679682,top,15.000000
K34,105.806065,-11.348011,top,15.000000
K35,102.312009,1.691985,top,15.000000
K36,51.558380,-49.022056,top,-75.000000
K37,38.906613,-53.965004,top,-75.000000
K38,26.513662,-59.873874,top,-75.000000
R1,-2.231727,-2.764766,top,-90.000000
R2,-3.731721,-2.764769,top,-90.000000
R3,4.368275,-35.296180,top,-90.000000
R4,67.644267,-42.020143,top,-165.000000
R5,1.068277,-6.164771,top,-90.000000
R6,13.725165,5.196041,top,100.000000
R7,9.968275,1.735227,top,180.000000
R8,2.668277,-6.164771,top,90.000000
R9,5.268278,0.835227,top,0.000000
R10,58.103466,-25.011820,top,-75.000000
R11,67.256038,-40.571251,top,15.000000
R12,13.018279,-20.664770,top,90.000000
R13,11.518279,-20.646180,top,90.000000
R14,10.018278,-20.646180,top,90.000000
SW1,11.518278,-11.914772,top,90.000000
SW2,18.594778,10.367021,top,-169.000000
U2,-0.235720,-39.781179,top,0.000000
U3,-0.731723,1.112120,top,90.000000
U4,3.368277,-2.664772,top,-90.000000
U5,60.518280,-24.364774,top,15.000000
U6,55.961642,-44.011687,top,15.000000
U7,57.227947,-35.856048,top,105.000000
U8,6.968277,-2.864772,top,-90.000000
